timestamp,command,error_message
2025-10-07T13:23:05.131688,cd /no_such_folder,
2025-10-07T13:23:05.131688,ls,
2025-10-07T13:23:05.131688,cd /,
2025-10-07T13:23:05.131688,ls,
2025-10-07T13:23:31.164069,чч,чч: command not found
2025-10-07T13:25:18.702681,ls /,
2025-10-07T13:25:18.705633,cd /docs,
2025-10-07T13:25:18.705633,ls,
2025-10-07T13:25:18.705633,cd /,
2025-10-07T13:25:18.708485,ls,
2025-10-07T13:25:18.709667,cd /projects/app,
2025-10-07T13:25:18.711672,ls,
2025-10-07T13:25:18.713677,cd src,
2025-10-07T13:25:18.714682,ls,
2025-10-07T13:25:18.716655,cd ../assets,
2025-10-07T13:25:18.718659,ls,
2025-10-07T13:25:18.718659,cd /no_such_folder,
2025-10-07T13:25:18.723424,ls,
2025-10-07T13:25:18.724429,cd /,
2025-10-07T13:25:18.725015,ls,
2025-10-07T13:25:26.685985,ls /,
2025-10-07T13:25:26.687993,cd /docs,
2025-10-07T13:25:26.690000,ls,
2025-10-07T13:25:26.690000,cd /,
2025-10-07T13:25:26.692774,ls,
2025-10-07T13:25:26.692774,cd /projects/app,
2025-10-07T13:25:26.697286,ls,
2025-10-07T13:25:26.697286,cd src,
2025-10-07T13:25:26.700164,ls,
2025-10-07T13:25:26.700164,cd ../assets,
2025-10-07T13:25:26.703519,ls,
2025-10-07T13:25:26.703519,cd /no_such_folder,
2025-10-07T13:25:26.707193,ls,
2025-10-07T13:25:26.707193,cd /,
2025-10-07T13:25:26.707193,ls,
2025-10-07T13:26:07.950658,cd projects,
2025-10-07T13:26:14.318238,ls,
2025-10-07T13:26:22.636922,cd ~,
2025-10-07T13:26:32.186906,ls,
2025-10-07T13:26:34.868883,lss,lss: command not found
2025-10-07T13:27:00.866331,cd /projects/app,
2025-10-07T13:27:03.128006,ls,
2025-10-07T13:27:14.327405,cd projects,
2025-10-07T13:27:17.775374,cd app,
2025-10-07T13:27:24.939097,cd projects/app,
2025-10-07T13:27:26.975321,ls,
2025-10-07T13:30:27.238799,ls /,
2025-10-07T13:30:27.238799,cd /docs,
2025-10-07T13:30:27.241136,ls,
2025-10-07T13:30:27.241136,cd /,
2025-10-07T13:30:27.243837,ls,
2025-10-07T13:30:27.245842,cd /projects/app,
2025-10-07T13:30:27.245842,ls,
2025-10-07T13:30:27.245842,cd src,
2025-10-07T13:30:27.250666,ls,
2025-10-07T13:30:27.252671,cd ../assets,
2025-10-07T13:30:27.254676,ls,
2025-10-07T13:30:27.254676,cd /no_such_folder,
2025-10-07T13:30:27.256681,ls,
2025-10-07T13:30:27.258685,cd /,
2025-10-07T13:30:27.260690,ls,
2025-10-07T13:30:34.485657,ls /,
2025-10-07T13:30:34.485657,cd /docs,
2025-10-07T13:30:34.485657,ls,
2025-10-07T13:30:34.485657,cd /,
2025-10-07T13:30:34.485657,ls,
2025-10-07T13:30:34.485657,cd /projects/app,
2025-10-07T13:30:34.485657,ls,
2025-10-07T13:30:34.485657,cd src,
2025-10-07T13:30:34.485657,ls,
2025-10-07T13:30:34.485657,cd ../assets,
2025-10-07T13:30:34.501076,ls,
2025-10-07T13:30:34.501076,cd /no_such_folder,
2025-10-07T13:30:34.501076,ls,
2025-10-07T13:30:34.501076,cd /,
2025-10-07T13:30:34.501076,ls,
